seq,date,time,type,COUNTY,location,death,wound,x,y
1,2019/1/1,0:01:00,A2,新興區,新興區中山一路,0,1,120.3014495,22.62731067
2,2019/1/1,0:10:00,A2,大寮區,大寮區立德路,0,1,120.3931574,22.63334166
3,2019/1/1,0:10:00,A3,三民區,三民區九如二路,0,0,120.2916031,22.64202215
4,2019/1/1,0:25:00,A3,小港區,小港區高松路,0,0,120.3718394,22.57274082
5,2019/1/1,0:28:00,A2,前金區,前金區成功一路,0,4,120.2935726,22.62468249
6,2019/1/1,0:28:00,A3,前鎮區,前鎮區成功二路,0,0,120.3017528,22.60367246
7,2019/1/1,0:29:00,A2,小港區,小港區大平路,0,1,120.3915251,22.56159111
8,2019/1/1,0:30:00,A2,仁武區,仁武區仁林路,0,2,120.3552783,22.70382531
9,2019/1/1,0:40:00,A2,苓雅區,苓雅區三多一路,0,1,120.3337675,22.62397468
10,2019/1/1,0:54:00,A2,前鎮區,前鎮區凱旋三路,0,5,120.3241641,22.60577844
11,2019/1/1,0:58:00,A3,苓雅區,苓雅區中正一路,0,0,120.3229959,22.62987721
12,2019/1/1,1:00:00,A3,前鎮區,前鎮區中華五路,0,0,120.3060995,22.60293966
13,2019/1/1,1:02:00,A3,大樹區,大樹區三和里三和里三和路,0,0,120.4380694,22.71739528
14,2019/1/1,1:28:00,A1,岡山區,岡山區成功路台上351路燈號前0.0公尺前,1,0,120.301278,22.814121
15,2019/1/1,1:31:00,A2,前鎮區,前鎮區光華二路,0,2,120.3182487,22.61700693
16,2019/1/1,1:45:00,A2,三民區,三民區大昌二路,0,1,120.3315645,22.64514999
17,2019/1/1,1:53:00,A2,仁武區,仁武區水管路三段,0,1,120.3551424,22.70446884
18,2019/1/1,2:00:00,A3,苓雅區,苓雅區自強三路,0,0,120.3006295,22.61158641
19,2019/1/1,2:08:00,A3,大社區,大社區和平路一段,0,0,120.3630746,22.7483304
20,2019/1/1,2:10:00,A2,新興區,新興區五福二路,0,1,120.3074941,22.62525329
